event_id,user_id,event_type,event_time,feature_name
1,1,signup,2025-10-16 00:00:00,
2,1,login,2025-10-16 01:00:00,
3,1,login,2025-12-11 01:00:00,
4,1,feature_use,2025-12-11 01:00:00,export
5,2,signup,2024-10-08 00:00:00,
6,2,login,2024-10-09 01:00:00,
7,2,login,2024-11-29 01:00:00,
8,2,login,2025-06-15 01:00:00,
9,2,login,2025-07-09 01:00:00,
10,2,feature_use,2025-07-09 01:00:00,reports
11,2,login,2025-06-23 01:00:00,
12,2,login,2025-07-24 01:00:00,
13,2,login,2024-10-21 01:00:00,
14,2,feature_use,2024-10-21 01:00:00,integrations
15,2,login,2025-03-15 01:00:00,
16,2,feature_use,2025-03-15 01:00:00,export
17,2,login,2024-12-29 01:00:00,
18,2,feature_use,2024-12-29 01:00:00,api_access
19,2,login,2025-04-09 01:00:00,
20,2,login,2025-02-07 01:00:00,
21,2,login,2025-06-23 01:00:00,
22,2,feature_use,2025-06-23 01:00:00,dashboard
23,2,login,2025-02-18 01:00:00,
24,2,login,2024-10-25 01:00:00,
25,2,login,2025-03-02 01:00:00,
26,2,feature_use,2025-03-02 01:00:00,api_access
27,2,login,2025-04-29 01:00:00,
28,2,login,2024-11-23 01:00:00,
29,2,login,2025-07-03 01:00:00,
30,2,login,2025-02-03 01:00:00,
31,2,feature_use,2025-02-03 01:00:00,integrations
32,2,login,2024-12-27 01:00:00,
33,2,feature_use,2024-12-27 01:00:00,api_access
34,2,login,2025-03-27 01:00:00,
35,2,feature_use,2025-03-27 01:00:00,reports
36,2,login,2025-01-23 01:00:00,
37,2,login,2025-08-03 01:00:00,
38,2,login,2025-01-21 01:00:00,
39,2,login,2025-03-17 01:00:00,
40,2,login,2025-07-05 01:00:00,
41,2,login,2025-05-18 01:00:00,
42,2,login,2024-12-23 01:00:00,
43,2,login,2025-07-26 01:00:00,
44,2,login,2025-03-21 01:00:00,
45,2,feature_use,2025-03-21 01:00:00,integrations
46,2,login,2024-12-09 01:00:00,
47,2,feature_use,2024-12-09 01:00:00,reports
48,2,login,2024-10-25 01:00:00,
49,2,login,2025-05-09 01:00:00,
50,3,signup,2024-04-14 00:00:00,
51,3,login,2024-04-16 00:00:00,
52,3,login,2024-09-04 00:00:00,
53,3,feature_use,2024-09-04 00:00:00,reports
54,3,login,2024-06-10 00:00:00,
55,3,feature_use,2024-06-10 00:00:00,dashboard
56,3,login,2024-08-31 00:00:00,
57,3,login,2024-08-13 00:00:00,
58,3,login,2024-08-13 00:00:00,
59,3,login,2024-10-17 00:00:00,
60,3,feature_use,2024-10-17 00:00:00,export
61,3,login,2024-06-24 00:00:00,
62,3,login,2024-12-13 00:00:00,
63,3,login,2024-10-25 00:00:00,
64,3,feature_use,2024-10-25 00:00:00,export
65,3,login,2024-12-24 00:00:00,
66,3,feature_use,2024-12-24 00:00:00,reports
67,3,login,2024-07-24 00:00:00,
68,3,feature_use,2024-07-24 00:00:00,export
69,3,login,2024-04-24 00:00:00,
