user_id,signup_date,plan,country,variant
1,2025-10-16,free,UK,B
2,2024-08-16,free,CA,A
3,2025-07-12,free,US,B
4,2024-01-31,free,IN,A
5,2025-09-08,free,CA,A
6,2025-10-27,pro,UK,B
7,2025-04-04,free,UK,A
8,2025-12-15,free,UK,B
9,2024-08-08,enterprise,US,B
10,2024-04-04,free,BR,B
11,2025-09-10,free,CA,A
12,2025-04-15,free,US,B
13,2025-07-19,free,IN,B
14,2024-07-15,pro,CA,A
15,2024-08-21,pro,UK,A
16,2024-04-13,free,CA,B
17,2025-01-08,free,UK,B
18,2025-11-17,free,IN,A
19,2025-10-12,free,UK,A
20,2025-04-18,free,CA,A
21,2024-11-28,pro,UK,A
22,2024-02-02,pro,BR,B
23,2024-03-08,free,UK,B
24,2025-11-02,free,UK,B
25,2024-09-28,free,CA,B
26,2025-08-21,free,BR,B
27,2024-08-12,enterprise,IN,A
28,2025-05-20,free,US,A
29,2024-06-05,free,IN,B
30,2024-03-06,free,IN,B
31,2024-09-14,enterprise,CA,A
32,2024-04-27,free,CA,B
33,2024-12-14,free,UK,B
34,2025-04-09,free,IN,B
35,2024-07-01,free,CA,A
36,2024-11-01,pro,UK,A
37,2025-01-17,pro,IN,A
38,2024-11-27,free,BR,A
39,2024-11-10,free,IN,A
40,2024-03-21,free,US,B
41,2025-06-29,pro,CA,A
42,2025-05-01,pro,BR,A
43,2025-06-24,pro,UK,B
44,2025-07-06,pro,CA,A
45,2024-11-15,free,DE,B
46,2025-06-13,free,UK,A
47,2024-03-06,free,IN,A
48,2024-08-13,free,UK,A
49,2024-03-10,pro,US,B
50,2025-06-10,free,UK,B
51,2025-07-06,free,UK,B
52,2025-04-29,pro,US,A
53,2024-04-09,free,DE,B
54,2025-02-24,free,CA,A
55,2025-10-31,enterprise,US,A
56,2025-02-16,pro,UK,A
57,2024-07-15,free,UK,B
58,2025-03-08,free,UK,B
59,2024-03-18,free,US,A
60,2025-10-29,enterprise,US,A
61,2024-08-30,free,DE,B
62,2024-08-06,pro,UK,A
63,2025-01-23,free,BR,B
64,2025-04-10,free,UK,B
65,2024-07-13,free,IN,A
66,2025-07-09,free,US,B
67,2024-02-21,free,US,A
68,2025-06-04,free,US,A
69,2025-09-01,free,DE,A
70,2024-05-02,pro,IN,A
71,2025-08-31,free,DE,A
72,2025-11-04,free,BR,B
73,2024-07-28,free,UK,B
74,2024-09-28,free,DE,B
75,2024-11-19,pro,US,A
76,2025-04-14,free,US,A
77,2025-07-04,free,UK,B
78,2024-12-23,pro,BR,A
79,2024-10-18,free,IN,B
80,2025-10-31,free,CA,B
81,2024-04-16,pro,BR,A
82,2024-04-28,pro,BR,A
83,2024-10-15,free,UK,B
84,2025-12-04,free,IN,B
85,2025-05-15,free,US,A
86,2025-10-11,free,US,B
87,2024-01-04,free,CA,A
88,2024-09-25,free,IN,B
89,2025-12-23,free,US,A
90,2024-03-18,pro,IN,A
91,2024-02-06,pro,DE,A
92,2024-05-10,free,US,B
93,2025-01-01,free,CA,A
94,2024-04-15,free,IN,B
95,2024-06-07,pro,UK,A
96,2024-06-30,pro,UK,A
97,2024-12-06,pro,CA,B
98,2024-09-11,free,DE,A
99,2024-02-09,pro,UK,A
100,2025-04-16,free,UK,A
101,2024-01-25,free,BR,B
102,2024-10-12,pro,BR,B
103,2025-10-18,free,US,B
104,2024-04-28,pro,UK,B
105,2025-08-17,enterprise,US,B
106,2024-04-21,free,CA,B
107,2024-11-17,free,DE,A
108,2025-08-13,free,CA,A
109,2025-03-22,free,BR,A
110,2025-03-17,free,IN,B
111,2024-11-17,free,CA,A
112,2024-11-03,free,BR,B
113,2025-02-16,free,UK,A
114,2025-03-06,free,CA,B
115,2024-06-27,free,DE,B
116,2025-07-15,pro,BR,B
117,2024-08-03,free,DE,B
118,2025-03-28,free,IN,A
119,2025-04-29,pro,CA,A
120,2024-03-27,free,US,B
121,2024-08-28,free,UK,A
122,2024-05-30,free,DE,A
123,2025-09-17,pro,DE,A
124,2025-02-28,pro,CA,A
125,2025-12-14,free,UK,B
126,2024-05-31,free,US,A
127,2025-03-11,free,US,B
128,2025-07-24,free,DE,A
129,2024-05-16,pro,DE,B
130,2025-09-19,pro,IN,B
131,2025-04-01,pro,DE,B
132,2024-09-22,pro,IN,B
133,2025-05-11,free,DE,B
134,2024-03-20,pro,BR,A
135,2024-12-09,free,UK,A
136,2024-06-03,free,CA,A
137,2024-08-07,free,BR,B
138,2025-07-09,free,UK,A
139,2025-03-06,free,IN,A
140,2025-01-24,free,BR,B
141,2025-02-03,pro,IN,B
142,2025-07-13,pro,DE,A
143,2024-08-12,free,US,B
144,2025-02-02,free,CA,B
145,2024-06-18,pro,IN,A
146,2025-06-30,free,IN,B
147,2025-07-31,free,CA,A
148,2025-03-14,free,UK,B
149,2024-02-21,free,UK,B
150,2025-04-10,free,BR,B
151,2025-03-07,free,DE,A
152,2024-01-20,pro,BR,A
153,2024-08-17,free,US,A
154,2024-09-10,free,IN,A
155,2024-06-05,free,CA,B
156,2024-04-27,free,DE,A
157,2025-12-17,free,UK,B
158,2025-09-12,free,UK,A
159,2024-11-14,free,BR,A
160,2025-08-12,free,DE,B
161,2024-07-22,free,US,A
162,2025-12-14,pro,IN,A
163,2024-02-12,free,CA,B
164,2025-01-14,free,US,B
165,2025-03-06,pro,DE,A
166,2025-01-05,free,CA,B
167,2024-06-05,free,IN,B
168,2025-07-05,pro,DE,B
169,2025-08-29,free,US,A
